"ANO_ELEICAO","NUM_TURNO","NUMERO_CAND","NOME_URNA_CANDIDATO","CODIGO_CARGO","SIGLA_UF","TOTAL_VOTACAO"
"2010","1","1030","EFIGENIO SOARES","6","MG","3155"
"2010","1","1030","ELITE VIEIRA","6","PA","29"
"2010","1","1030","LUIS MACHADO","6","RJ","859"
"2010","1","1030","RATINHO","6","SP","572"
"2010","1","10300","CARLOS GOMES","7","RS","59144"
"2010","1","10300","CORONEL CLAUDIO","7","MA","178"
"2010","1","10300","DINNER REVÃO","7","GO","265"
"2010","1","10300","J. LINO","7","PA","309"
"2010","1","10300","LICO TONELADA","7","RJ","63"
"2010","1","10300","RIBAMAR LIRA","7","RR","36"
"2010","1","10312","IVONETE VIEGAS","7","RJ","104"
"2010","1","10318","ALVES FILHO","7","PA","2"
"2010","1","1032","BOSOROY","6","RJ","2010"
"2010","1","10321","BICHO DE PE JA E","7","RJ","174"
"2010","1","10321","CUPIM","7","MT","355"
"2010","1","10321","JOILDO CELULAR","7","BA","153"
"2010","1","10321","JOSUÉ ANCHIETA","7","GO","200"
"2010","1","10321","SEBASTIÃO SANTOS","7","SP","73805"
"2010","1","10322","JOAO BATISTA TITA","7","ES","4746"
"2010","1","1033","GRAÇAS SANTOS","6","RJ","169"
"2010","1","1033","MAZUELIO DANTAS","6","PI","663"
"2010","1","1033","VILALBA DE JESUS","6","PE","39173"
"2010","1","1033","ZÉ MUNIZ","6","AL","8761"
"2010","1","10330","JURACI VIGILANTE","7","GO","172"
"2010","1","10331","MAX LINDER","7","MA","357"
"2010","1","10333","ADAIR VAZ","7","GO","406"
"2010","1","10333","ADY ALVES","7","RO","821"
"2010","1","10333","ANTONIO DE VELASCO","7","PA","12"
"2010","1","10333","BOSO DA ELETRÔNICA","7","PR","328"
"2010","1","10333","CALEGARI","7","RS","2788"
"2010","1","10333","DOUTOR URAY POR NOS","7","PB","85"
"2010","1","10333","DR.PAULO SERGIO","7","RR","304"
"2010","1","10333","HANNYS","7","MA","806"
"2010","1","10333","JANAINA JANE","7","RJ","76"
"2010","1","10333","MAJÔ","7","SP","330"
"2010","1","10333","MARIA DALVA","7","MT","482"
"2010","1","10333","MESSIAS VIANA","7","ES","3816"
"2010","1","10333","NOCA","7","BA","220"
"2010","1","10333","ORLANDO MENDES","7","AC","297"
"2010","1","10333","VALDIR ALEIXO","7","MG","291"
"2010","1","10337","GUSTAVO AFFONSO","7","RJ","86"
"2010","1","10343","PR. DANIEL MONTEIRO","7","RJ","742"
"2010","1","10345","FAGUNDES","7","RJ","84"
"2010","1","10353","PR. FERREIRA","7","RJ","967"
"2010","1","10357","DR.NESTALI LEITE","7","GO","570"
"2010","1","1037","BISPO GERALDO LIMA","6","GO","293"
"2010","1","10373","RONALDO DA TIJUQUINHA","7","RJ","757"
"2010","1","10377","PR.ANASTACIO SOUZA","7","GO","109"
"2010","1","1038","GRACA MASONI","6","RJ","133"
"2010","1","10389","DUDA RODRIGUES","8","DF","101"
"2010","1","1039","ANDREIA PEREIRA DE SOUZA","6","RJ","174"
"2010","1","1040","LUIZ SOARES","6","SP","1621"
"2010","1","1040","MARISTELA","6","RJ","345"
"2010","1","10400","JANE LOBAO","7","MA","1866"
"2010","1","10410","SANDRA MARA","7","PR","194"
"2010","1","10415","PAULO HENRIQUE","7","GO","57"
"2010","1","10418","DANIELLE CARDIAS","7","PA","103"
"2010","1","1042","ANTERO NAPOLITANO","6","RJ","532"
"2010","1","10429","MILTON MARTELLI","7","RO","682"
"2010","1","10431","LIOMAR PIQUE NOVO","7","RJ","3979"
"2010","1","1044","LUCAS ANTUNES","6","SP","1243"
"2010","1","1044","PROF VALQUIRIA MUNCAO","6","RJ","155"
"2010","1","10444","HADSON RIBEIRO","7","PA","886"
"2010","1","10444","LECI NUNES","7","RJ","14"
"2010","1","10444","TIÃO","7","MG","257"
"2010","1","10444","VANUBIA","7","RR","1668"
"2010","1","10448","PASTORA ELISABETH BARROS","7","RJ","21"
"2010","1","1045","BATISTA DA SORVETERIA","6","BA","6169"
"2010","1","1045","ERO","6","SP","584"
"2010","1","1045","PR EZEQUIEL OLIVEIRA","6","RJ","3689"
"2010","1","10453","DR. HOLLYWOOD MÁXIMOS","7","GO","52"
"2010","1","10455","ILSON DE ARAUJO","7","RJ","810"
"2010","1","10455","JOSÉ HOCH","7","RS","376"
"2010","1","10456","JOAO BATISTA","7","RR","1363"
"2010","1","10456","JOÃO EMILIO","7","MG","425"
"2010","1","10456","LIDIANE","7","RO","9"
"2010","1","10456","MARCIO KYLDARE","7","PI","3"
"2010","1","10456","NIKSON BRITO","7","MA","381"
"2010","1","10456","NILSINHA","7","PA","1038"
"2010","1","10456","PASTOR JOAO AMARAL","7","GO","212"
"2010","1","10456","PASTOR JOSÉ DE ARIMATEIA","7","BA","56896"
"2010","1","10456","PROFESSOR JOAQUIM XAVIER","7","MT","505"
"2010","1","10456","ROSANGELA GOMES","7","RJ","10586"
"2010","1","10474","CHICA SILVA","7","RJ","3"
"2010","1","10476","ROSA MESQUEU","7","RJ","577"
"2010","1","10477","IRMÃ DENISE","7","BA","220"
"2010","1","10478","ZÉ VIEIRA","8","DF","105"
"2010","1","1050","GERSON MARTINS","6","PR","750"
"2010","1","1050","L CARLOS NEVES","6","RJ","317"
"2010","1","10500","BAIXINHO DO BARREIRO","7","MG","437"
"2010","1","10500","BETRONIO FILHO - BIO FORTE","7","GO","662"
"2010","1","10500","EDUARDO MAGRÃO MENEZES","7","RS","770"
"2010","1","10500","HAVANIR","7","SP","11341"
"2010","1","10500","PROFESSORA SILVIA BARBOSA","7","PA","327"
"2010","1","10500","RODRIGO CATARATAS","7","RR","722"
"2010","1","1051","MARCO ANTÔNIO","6","RJ","1818"
"2010","1","10510","ESTER RIBEIRO","8","DF","147"
"2010","1","10510","JOAO MOTA","7","MA","127"
"2010","1","10510","MARCOS MERLINO","7","RJ","255"
"2010","1","1052","LEIDE","6","RJ","77"
"2010","1","10525","CLEDIR RIBEIRO","7","RS","476"
"2010","1","1054","MICHELE CHAVES","6","RJ","27"
"2010","1","10541","PARAIBA","7","RO","43"
"2010","1","10543","RIVANA MOREIRA","7","RJ","3"
"2010","1","1055","INÁCIO CORREIA","6","BA","335"
"2010","1","1055","PROF. WATASE","6","SP","315"
"2010","1","1055","WASHINGTON ALVES","6","RJ","724"
"2010","1","10552","ALDO WAGNER FERNANDES","7","SC","210"
"2010","1","10555","CORONEL CASTRO","7","MA","6970"
"2010","1","10555","DONIZETTE DO FEIRAO","7","GO","371"
"2010","1","10555","EDSON VIANA","7","RO","3"
"2010","1","10555","ITHAMAR DABRIUS","7","SP","519"
"2010","1","10555","LAUREMIR DUDEK","7","PR","1044"
"2010","1","10555","LUIZ CAR","7","BA","372"
"2010","1","10555","MACELO NATANAEL","7","RR","3109"
"2010","1","10555","MIGUEL RODRIGUES","7","PA","4246"
"2010","1","10555","WILLIAM DA ROCINHA","7","RJ","7813"
"2010","1","10556","MARIO PICCOLO","7","RJ","1816"
"2010","1","1056","PEDRO RICARDO","6","RJ","17594"
"2010","1","10563","LUCIVAN","7","AL","123"
"2010","1","10567","ABILIO DIAS","7","RR","156"
"2010","1","10567","GLEISER CARVALHO","7","PR","1083"
"2010","1","10567","PROFESSORA GLORIA","7","RJ","221"
